"layer_from","layer_to","weight"
6,2,0.846852661022826
3,2,0.894390241787489
7,2,0.834515141041825
4,2,0.86588315293041
5,2,0.854285428133962
1,2,0.860990451384097
2,6,0.846852661022826
3,6,0.890714569636423
7,6,0.96299391606049
4,6,0.95043834059757
5,6,1
1,6,0.844602368427358
2,3,0.894390241787489
6,3,0.890714569636423
7,3,0.868329291910349
4,3,0.932109694280795
5,3,0.901156001087975
1,3,0.87645361381956
2,7,0.834515141041825
6,7,0.96299391606049
3,7,0.868329291910349
4,7,0.901628286948602
5,7,0.92375797722717
1,7,0.837149498987334
2,4,0.86588315293041
6,4,0.95043834059757
3,4,0.932109694280795
7,4,0.901628286948602
5,4,0.992191767955393
1,4,0.853824028541735
2,5,0.854285428133962
6,5,1
3,5,0.901156001087975
7,5,0.92375797722717
4,5,0.992191767955393
1,5,0.844756442661504
2,1,0.860990451384097
6,1,0.844602368427358
3,1,0.87645361381956
7,1,0.837149498987334
4,1,0.853824028541735
5,1,0.844756442661504
