"","module","layer_from","layer_to","distance","num_of_species"
"1","1",1,2,505.679714,22
"2","1",2,3,305483.51,28
"3","1",2,4,305468.5845,29
"4","1",2,6,244435.1061,23
"5","1",2,7,339422.5451,19
"6","1",2,8,339445.9549,22
"7","1",2,10,389146.973,23
"8","1",2,12,389996.6073,21
"9","1",3,4,67.363151,23
"10","1",3,9,337010.9202,20
"11","1",3,12,376943.1528,19
"12","1",4,9,336943.6391,19
"13","1",6,7,116448.0545,11
"14","1",6,8,116423.1775,14
"15","1",9,11,52803.77965,9
"16","1",9,13,129490.6054,8
"17","1",10,14,129338.2219,12
"18","2",1,2,505.679714,7
"19","2",4,8,284158.7826,5
"20","2",4,12,376876.5125,7
"21","2",5,8,116473.2763,6
"22","3",3,4,67.363151,21
"23","3",3,5,190517.2168,18
"24","3",3,6,190493.473,20
"25","3",3,7,284291.92,19
"26","3",3,8,284225.6416,19
"27","3",3,12,376943.1528,20
"28","3",4,6,190431.974,18
"29","3",4,7,284225.063,16
"30","3",4,8,284158.7826,16
"31","3",6,12,200269.4864,11
"32","3",7,12,92982.62174,11
"33","4",7,8,95.901643,13
"34","4",8,10,57537.41864,11
"35","4",8,12,93055.34728,14
"36","4",11,12,70.701802,7
"37","4",13,14,93.399466,26
"38","5",7,8,95.901643,13
"39","5",7,11,92943.79946,11
"40","5",7,12,92982.62174,9
"41","5",8,11,93016.48528,13
"42","5",8,12,93055.34728,11
"43","5",9,11,52803.77965,8
"44","5",9,12,52869.02752,7
"45","6",7,8,95.901643,14
"46","6",8,9,57421.1674,18
"47","6",8,11,93016.48528,20
"48","6",8,12,93055.34728,17
"49","6",11,12,70.701802,11
"50","7",5,6,95.95512,8
"51","7",5,7,116498.0882,6
"52","7",5,9,173827.6658,7
"53","7",5,12,200296.3813,7
"54","7",6,7,116448.0545,6
"55","7",6,9,173779.1593,7
"56","7",6,12,200269.4864,7
"57","10",11,12,70.701802,8
"58","12",11,12,70.701802,7
"59","12",11,14,80155.97026,7
