"layer_from","layer_to","ave","sd","mean_distance","type"
1,2,0.422666938262166,0.0716519084678886,190474.5988,"null_pollinators"
1,3,0.373823695192302,0.0603666703326377,310640.4162,"null_pollinators"
1,4,0.332858888033677,0.07214686963204,376892.6301,"null_pollinators"
1,5,0.21394578000155,0.0522296759519816,455676.6434,"null_pollinators"
2,3,0.364609105038581,0.0542981781839005,145159.7397,"null_pollinators"
2,4,0.313635941063991,0.063914224898186,200274.2601,"null_pollinators"
2,5,0.197966893690683,0.048521772983735,274346.546,"null_pollinators"
3,4,0.3260613082717,0.0601875111413481,72875.52795,"null_pollinators"
3,5,0.273178623925605,0.0563367635410024,151088.9308,"null_pollinators"
4,5,0.273295256572595,0.0723096513683242,80112.73198,"null_pollinators"
